threshold,threshold_value,X,Y,Method,R,P,N
p90,10803.514285714286,out_strength,MeanZFCV,pearson,-0.11233507501647438,0.4521851732613612,47
p90,10803.514285714286,out_strength,MeanZFCV,spearman,-0.17356614246068455,0.2433116227694611,47
p90,10803.514285714286,out_strength,MeanRawFCV,pearson,-0.11661565799627835,0.4350274681617226,47
p90,10803.514285714286,out_strength,MeanRawFCV,spearman,-0.18674838112858466,0.2087901151678906,47
p90,10803.514285714286,out_strength,MeanZFC,pearson,0.33963319995222857,0.0195116493906502,47
p90,10803.514285714286,out_strength,MeanZFC,spearman,0.4978029602220167,0.0003703503888822461,47
p90,10803.514285714286,out_strength,MeanRawFC,pearson,0.31115464192391573,0.03326346863905563,47
p90,10803.514285714286,out_strength,MeanRawFC,spearman,0.47583256244218325,0.0007236166500630781,47
p90,10803.514285714286,in_strength,MeanZFCV,pearson,-0.15171214251398127,0.3086843058240027,47
p90,10803.514285714286,in_strength,MeanZFCV,spearman,-0.1963459759481961,0.18591805368412911,47
p90,10803.514285714286,in_strength,MeanRawFCV,pearson,-0.1578295336725069,0.2893507722968583,47
p90,10803.514285714286,in_strength,MeanRawFCV,spearman,-0.20397779833487512,0.16905263999631573,47
p90,10803.514285714286,in_strength,MeanZFC,pearson,0.244483000776263,0.09768174702267315,47
p90,10803.514285714286,in_strength,MeanZFC,spearman,0.5615171137835338,4.0185856014017274e-05,47
p90,10803.514285714286,in_strength,MeanRawFC,pearson,0.2207740332454119,0.1358921462025799,47
p90,10803.514285714286,in_strength,MeanRawFC,spearman,0.5472941720629046,6.862106494906238e-05,47
