species,measure,anatomy_group,n,mean,median,std,kruskal_h,kruskal_p,group_i,group_j,n_i,n_j,mannwhitney_p,holm_p
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,protocerebrum,80.0,889.0,1.6812484238849575e-07,1.0087490543309746e-06
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,premotor interface,80.0,120.0,0.7848008055826857,0.7848008055826857
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,mushroom body,117.0,40.0,4.6625354831420925e-21,5.128789031456302e-20
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,central complex,117.0,80.0,5.528971034507842e-30,6.634765241409411e-29
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,protocerebrum,117.0,889.0,3.307779964907448e-53,4.961669947361172e-52
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,premotor interface,117.0,120.0,1.5264648423288218e-39,2.1370507792603504e-38
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,mushroom body,central complex,40.0,80.0,4.955544433478779e-08,3.4688811034351456e-07
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,mushroom body,protocerebrum,40.0,889.0,7.00072442627303e-18,7.000724426273031e-17
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,mushroom body,premotor interface,40.0,120.0,1.843494204774785e-10,1.474795363819828e-09
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,central complex,protocerebrum,80.0,889.0,0.00652150925522667,0.02608603702090668
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,central complex,premotor interface,80.0,120.0,0.11472383590074278,0.3441715077022284
Drosophila,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,protocerebrum,premotor interface,889.0,120.0,1.5639225310156865e-10,1.4075302779141179e-09
Drosophila,FCSHalfLifeWindows,olfactory neuropil,80.0,-0.22736096187674545,-0.2969714199166984,1.0121515314322704,,,,,,,,
Drosophila,FCSHalfLifeWindows,optic neuropil,117.0,0.05667312882831578,-0.08630757829234428,1.1311943591017406,,,,,,,,
Drosophila,FCSHalfLifeWindows,mushroom body,40.0,0.033356536339633855,-0.21895776754518492,1.062946801861403,,,,,,,,
Drosophila,FCSHalfLifeWindows,central complex,80.0,-0.14061769970771393,-0.15570148625740943,0.8779886953367284,,,,,,,,
Drosophila,FCSHalfLifeWindows,protocerebrum,889.0,0.03314997645124315,-0.06232270112750556,1.001788860243021,,,,,,,,
Drosophila,FCSHalfLifeWindows,premotor interface,120.0,-0.06664211387413925,-0.09840000038389247,0.8832937212538551,,,,,,,,
Drosophila,FCSHalfLifeWindows,__global_kruskal__,1326.0,,,,6.068863817520651,0.29957573654175196,,,,,,
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,optic neuropil,80.0,117.0,0.13360308160559772,1.0
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,mushroom body,80.0,40.0,0.3043660407041394,1.0
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,central complex,80.0,80.0,0.5178318571113518,1.0
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,protocerebrum,80.0,889.0,0.03615758868407127,0.542363830261069
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,olfactory neuropil,premotor interface,80.0,120.0,0.27746205236804133,1.0
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,mushroom body,117.0,40.0,0.9149839718256287,1.0
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,central complex,117.0,80.0,0.36837718374498796,1.0
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,protocerebrum,117.0,889.0,0.9419867224985494,1.0
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,optic neuropil,premotor interface,117.0,120.0,0.5910990135976252,1.0
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,mushroom body,central complex,40.0,80.0,0.5911172900209154,1.0
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,mushroom body,protocerebrum,40.0,889.0,0.919631333723612,1.0
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,mushroom body,premotor interface,40.0,120.0,0.6461808030248638,1.0
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,central complex,protocerebrum,80.0,889.0,0.180705502891643,1.0
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,central complex,premotor interface,80.0,120.0,0.6241151742411251,1.0
Drosophila,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,protocerebrum,premotor interface,889.0,120.0,0.36605186598917594,1.0
Zebrafish,EdgeStdFCV,telencephalon,65.0,0.6300260710049163,1.1199367023089974,1.4946196102820555,,,,,,,,
Zebrafish,EdgeStdFCV,diencephalon,56.0,0.26932591463938477,0.26068427596356375,0.4849034919950993,,,,,,,,
Zebrafish,EdgeStdFCV,mesencephalon,42.0,-0.17061809379468412,-0.18597579673615539,0.5966208390787695,,,,,,,,
Zebrafish,EdgeStdFCV,hindbrain / motor,195.0,-0.2664207061419825,-0.14599368379278602,0.8757569323198872,,,,,,,,
Zebrafish,EdgeStdFCV,state system,92.0,0.0335223021949779,-0.0038305724473945042,0.9703664217073708,,,,,,,,
Zebrafish,EdgeStdFCV,__global_kruskal__,450.0,,,,66.25171600592171,1.401865152987515e-13,,,,,,
Zebrafish,EdgeStdFCV,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,diencephalon,65.0,56.0,5.484254534252935e-07,4.387403627402348e-06
