species,node,edge_source_dca_mean,n_edge_values,EdgeStdFCV_raw,EdgeStdFCV_zscore,EdgeStdFCV,PreDCA,predca_for_plot,predca_mode,class_order,class_label,fine_class,shared_fine_order,shared_fine_label,n_sample_edges,sample_edge_mean
C. elegans,RIMR,0.0210487585562249,25,0.3662116515377592,0.9796523400915012,0.9796523400915012,0.0455336622273041,0.0455336622273041,signed_PreDCA,4,state-dependent / modulatory,state-modulatory interneuron,6,state-dependent / modulatory,25.0,0.02104875855622496
C. elegans,RMER,0.0186306996633315,16,0.3665676138667036,0.8615438524198483,0.8615438524198483,0.0176861883629082,0.0176861883629082,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,16.0,0.018630699663331564
C. elegans,AIBL,0.0341643675931157,32,0.3669500757456529,0.9811485212148382,0.9811485212148382,0.0210420056080165,0.0210420056080165,signed_PreDCA,3,associative / learning,associative interneuron,5,associative / learning,32.0,0.03416436759311571
C. elegans,ASER,0.016160625043345,21,0.3678751214799775,0.7767642771058964,0.7767642771058964,0.0167177457883876,0.0167177457883876,signed_PreDCA,0,sensory input,chemosensory,0,olfactory / chemosensory,21.0,0.016160625043345086
C. elegans,RIBL,0.0307836335711459,23,0.3682373099953809,1.0562991765375076,1.0562991765375076,0.0543817177280561,0.0543817177280561,signed_PreDCA,3,associative / learning,associative interneuron,5,associative / learning,23.0,0.03078363357114595
C. elegans,AIBR,0.0274823938764288,32,0.368490605860843,0.8820471275512428,0.8820471275512428,0.0187936784794491,0.0187936784794491,signed_PreDCA,3,associative / learning,associative interneuron,5,associative / learning,32.0,0.027482393876428843
C. elegans,AVEL,0.0090828988283277,43,0.3686034438456281,0.6126277611952423,0.6126277611952423,0.0383452695813948,0.0383452695813948,signed_PreDCA,1,sensorimotor output,locomotor command interneuron,3,sensorimotor output,43.0,0.009082898828327727
C. elegans,ASGL,0.0084764550143143,7,0.3692082883865347,0.8773969832466972,0.8773969832466972,0.0084972584535816,0.0084972584535816,signed_PreDCA,0,sensory input,chemosensory,0,olfactory / chemosensory,7.0,0.008476455014314314
C. elegans,RIVL,0.0195695149399303,13,0.3703209061685168,0.997230902250066,0.997230902250066,0.0324876634470004,0.0324876634470004,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,13.0,0.019569514939930335
C. elegans,AVAL,0.0374804658292242,63,0.3713074619127138,0.9531506706687886,0.9531506706687886,0.086423045263819,0.086423045263819,signed_PreDCA,1,sensorimotor output,locomotor command interneuron,3,sensorimotor output,63.0,0.03748046582922425
C. elegans,OLQDL,0.0343818056697415,5,0.3717282314424913,1.044455240180571,1.044455240180571,0.0288424075297569,0.0288424075297569,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,5.0,0.034381805669741514
C. elegans,SMDVL,0.0289632551371838,28,0.3722961878975545,1.1500043900545958,1.1500043900545958,0.0865327352777593,0.0865327352777593,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,28.0,0.02896325513718388
C. elegans,RMEL,0.0157027822865288,12,0.3729178332574723,1.206894611334205,1.206894611334205,0.0152548246003602,0.0152548246003602,signed_PreDCA,1,sensorimotor output,head motor / command,3,sensorimotor output,12.0,0.01570278228652889
