species,node,edge_target_dca_mean,n_edge_values,EdgeStdFCV_raw,PostDCA,EdgeStdFCV_zscore,EdgeStdFCV,class_order,class_label,fine_class,postdca_for_plot,postdca_mode,shared_fine_order,shared_fine_label,n_sample_edges,sample_edge_mean
C. elegans,SAAVR,-0.0267849834536863,14,0.3284400070992513,-0.1553687869686358,-0.0947303247555859,-0.0947303247555859,1,sensorimotor output,other interneuron,-0.1553687869686358,signed_PostDCA,3,sensorimotor output,14.0,-0.026784983453686326
C. elegans,AVBR,-0.0440975431218179,19,0.3282464458072793,-0.1595382746962184,0.1153840283642345,0.1153840283642345,1,sensorimotor output,locomotor command interneuron,-0.1595382746962184,signed_PostDCA,3,sensorimotor output,19.0,-0.04409754312181797
C. elegans,IL2VR,0.0064151889432239,14,0.3275475217451253,0.0041169460878454,-0.6951096324652956,-0.6951096324652956,0,sensory input,mechanosensory,0.0041169460878454,signed_PostDCA,2,other sensory,14.0,0.00641518894322392
C. elegans,AUAR,-0.0001819163474428,10,0.3274902236394654,0.0397360446297983,-0.1618779789119584,-0.1618779789119584,3,associative / learning,associative interneuron,0.0397360446297983,signed_PostDCA,5,associative / learning,10.0,-0.0001819163474428856
C. elegans,ADAR,-0.0212562203973925,18,0.3270550377194187,-0.0456181331762736,-1.1131455752456976,-1.1131455752456976,2,integrative relay,other interneuron,-0.0456181331762736,signed_PostDCA,4,integrative relay,18.0,-0.021256220397392597
C. elegans,URBL,0.0075257794278955,17,0.32699685907927,0.0151356690304579,-0.4708821787532142,-0.4708821787532142,2,integrative relay,other interneuron,0.0151356690304579,signed_PostDCA,4,integrative relay,17.0,0.0075257794278955886
C. elegans,AWBR,0.039836227483604,15,0.3267566902921516,0.0412973584883009,-0.6363961913476046,-0.6363961913476046,0,sensory input,chemosensory,0.0412973584883009,signed_PostDCA,0,olfactory / chemosensory,15.0,0.03983622748360401
C. elegans,URXR,-0.0079620117261089,26,0.3260604476420717,0.0304554844923096,-0.6372974753910494,-0.6372974753910494,0,sensory input,thermo/gas sensory,0.0304554844923096,signed_PostDCA,2,other sensory,26.0,-0.00796201172610896
C. elegans,CEPVL,0.0016477725936754,21,0.3255136225564881,0.008011582336464,-0.6287699083132322,-0.6287699083132322,0,sensory input,mechanosensory,0.008011582336464,signed_PostDCA,2,other sensory,21.0,0.0016477725936754717
C. elegans,URYVR,-0.0441671247724882,16,0.3254734578890412,-0.0965866123587528,-0.3294070467994306,-0.3294070467994306,0,sensory input,other sensory neuron,-0.0965866123587528,signed_PostDCA,2,other sensory,16.0,-0.04416712477248821
C. elegans,URAVL,-0.0226379475273347,12,0.3251138994307036,-0.0316193482880172,-1.038814546608589,-1.038814546608589,1,sensorimotor output,other motor neuron,-0.0316193482880172,signed_PostDCA,3,sensorimotor output,12.0,-0.022637947527334747
