neuron,n_recordings,EdgeStdFCV,ProfileEuclideanFCV,ProfileCorrDistFCV,ProfileTransitionEuclideanFCV,ProfileTransitionCorrDistFCV,EdgeStdFCV_z,ProfileEuclideanFCV_z,ProfileCorrDistFCV_z,ProfileTransitionEuclideanFCV_z,ProfileTransitionCorrDistFCV_z,cell_class,c_out,c_in,DCA,PostDCA,PreDCA,Log10_OutInput_degree,OO_fraction,OO_count,out_degree,in_degree,out_strength,in_strength
FLPL,16,0.25451795492778584,0.24889522029385464,0.48520341772179437,0.20195923994591944,0.2633096389329587,-0.8722057908110248,-0.956604767347078,0.5831902966062533,-0.6915074901170846,0.6518788130624362,Sensory,0.2544461877441418,0.0124934598411901,0.2419527279029516,-0.1149491501054033,0.080275585349633,0.3273589343863303,0.5,8,16,7,241.0,25.0
FLPR,9,0.22278834195340438,0.21666414489909686,0.4820041699666354,0.16998735878478674,0.24969736304388845,-2.2524442842183325,-2.2923374006651396,0.5555963730078658,-2.262164955662239,0.39045668599039307,Sensory,0.1370130320348636,0.00387862312235,0.1331344089125136,-0.0595770609716446,0.0560912591379397,0.4771212547196624,0.5294117647058824,9,17,5,170.0,11.0
IL1DL,15,0.2615093615825914,0.25820717733511556,0.3547098999484024,0.20504138304822797,0.20676896269358733,-0.568079528829262,-0.5706950591624377,-0.5423330873571413,-0.5400934694930979,-0.4339780979377534,Sensory,0.0091440088516174,0.0114305698693937,-0.0022865610177762,-0.0470399069015458,0.0336350446821504,0.0579919469776867,0.0,0,7,6,32.0,56.0
IL1DR,16,0.27629958672837207,0.2741942141072543,0.3635723620841925,0.21287686754325327,0.2045226968048893,0.07529541838013194,0.09184587268852876,-0.4658932109286137,-0.1551657839355807,-0.477117365124096,Sensory,0.0540625868977766,0.0054757329219222,0.0485868539758544,-0.0867933481889605,0.0026435777515531,-0.041392685158225,0.5555555555555556,5,9,10,94.0,63.0
IL1L,15,0.2891802915986032,0.2863471105896162,0.3751753235897449,0.2290887170825936,0.22073752795249596,0.6356062138022612,0.595490886762967,-0.36581617476192374,0.641261000617047,-0.16571347621783947,Sensory,0.0673965248892423,0.0034977192365811,0.0638988056526612,-0.1317128809018447,-0.0039304772272032,0.1139433523068367,0.5,6,12,9,76.0,33.0
IL1R,13,0.28094402241090416,0.28201801514879105,0.27202035403676095,0.22267008227878884,0.16800361961713742,0.2773284187309721,0.41608284709206295,-1.2555410621355194,0.3259377757371906,-1.178461865847574,Sensory,0.0647318883846764,0.0085112511694956,0.0562206372151807,-0.1190846052040121,-0.0438247959518256,-0.0321846833714012,0.25,3,12,13,77.0,35.0
IL1VL,11,0.2619347649409401,0.2592150114055903,0.389636644890294,0.202552097371471,0.22289594326077156,-0.5495744783298545,-0.528928011665108,-0.24108541752200563,-0.662382649550041,-0.12426136889996424,Sensory,0.0419558718869163,0.0067215960103182,0.035234275876598,-0.1106772305974841,0.0182299836093794,0.1549019599857432,0.4444444444444444,4,9,6,61.0,55.0
IL1VR,12,0.27058399221477625,0.27014594744285825,0.3324143153678745,0.21105495937662055,0.1978464232612951,-0.17333300222941256,-0.07592395272930268,-0.7346353735756419,-0.24466923382761024,-0.6053343984037831,Sensory,0.0558438431338292,0.0076571138206982,0.0481867293131309,-0.115110472722582,0.0178492388328706,0.0,0.625,5,8,8,77.0,63.0
IL2DL,16,0.24105471952984797,0.23567031109567305,0.5254850101437112,0.18966988118635092,0.280698191334164,-1.4578566702289748,-1.5046765450437185,0.9306242150701678,-1.2952371544805432,0.9858238779781938,Sensory,0.0083005260441696,0.0002051224527916,0.008095403591378,-0.0110232982195794,0.0088692614077105,0.6690067809585756,0.2307692307692307,3,13,2,85.0,2.0
IL2DR,16,0.2529007442050908,0.24715788874747854,0.5359991944047978,0.19082617350407194,0.26946220974536667,-0.9425544740180022,-1.0286039300484537,1.021310407388955,-1.2384328910082751,0.7700381981533969,Sensory,0.0100131998556881,0.0026402819747694,0.0073729178809187,-0.000330936826991,0.0282467465529815,0.414973347970818,0.4166666666666667,5,12,4,115.0,14.0
IL2L,15,0.23916732618519967,0.23537377258180542,0.4409233790356186,0.18607060902400366,0.24524767594505778,-1.5399583002925898,-1.516965808282917,0.20126926455437066,-1.4720557678060562,0.3050009785347903,Sensory,0.0119609874415818,0.0035258985926556,0.0084350888489262,0.0214399059599487,0.0207946452853961,0.146128035678238,0.6153846153846154,8,13,9,107.0,15.0
IL2R,11,0.24922725527517653,0.2457858273092791,0.3954244192528113,0.19215836165892544,0.22664022426891278,-1.1023512805616889,-1.08546542832221,-0.19116511881851442,-1.1729875310563194,-0.05235290087591591,Sensory,0.0063348339224235,0.0028515247971367,0.0034833091252868,0.0348992853034019,0.0434480259894494,0.3590219426416679,0.6666666666666666,10,15,6,87.0,11.0
IL2VL,11,0.23510295397104605,0.2306794822722309,0.5405450728652611,0.18374277703118788,0.2816656924945923,-1.7167585337539712,-1.7115083942801335,1.060519194118055,-1.5864133396869289,1.0044046218130223,Sensory,0.0124798931973487,0.0019687035538685,0.0105111896434801,0.0085666374188124,0.0879947238929901,0.8129133566428556,0.6666666666666666,8,12,1,103.0,4.0
